ID,Año,Semana Epidemiológica (a),Total de Casos de Dengue (b),Tasa de Incidencia (c),Confirmados Laboratorio,% Lab Conf (x100),Dengue Grave (d),(DG/D) x100 (e),Muertes,Letalidad (f),Población X 1000,ID_Pais_Subregion,ID_Serotipo,ID_Calendario
1,2017,52,5561,"113,35100",106,"1,90613",2,"0,03596",0,0.00000,4906,1,1,1
2,2018,52,2735,"55,21906",265,"9,68921",0,"0,00000",0,0.00000,4953,1,1,2
3,2019,52,9400,"189,78397",365,"3,88298",11,"0,11702",0,0.00000,4953,1,1,3
4,2020,53,10056,"203,02847",426,"4,23628",21,"0,20883",0,0.00000,4953,1,1,4
5,2021,52,5174,"100,68107",250,"4,83185",3,"0,05798",0,0.00000,5139,1,1,5
6,2014,53,11140,"225,59741",,,4,"0,03591",0,0.00000,4938,1,2,6
7,2015,52,17394,"347,74090",0,"0,00000",6,"0,03449",0,0.00000,5002,1,2,7
8,2016,52,23319,"480,11118",0,"0,00000",21,"0,09006",0,0.00000,4857,1,2,8
9,2022,52,7485,"145,65090",556,"7,42819",0,"0,00000",0,0.00000,5139,1,3,9
10,2023,52,30649,"582,45914",2712,"8,84858",1,"0,00326",0,0.00000,5262,1,3,10
11,2024,18,8051,"153,00266",448,"5,56453",0,"0,00000",0,0.00000,5262,1,3,11
12,2021,52,5752,"88,23439",37,"0,64325",13,"0,22601",0,0.00000,6519,2,4,5
13,2023,50,5788,"88,78662",50,"0,86386",3,"0,05183",0,0.00000,6519,2,4,10
14,2014,53,53460,"837,40602",16146,"30,20202",184,"0,34418",6,0.01122,6384,2,2,6
15,2015,52,50169,"780,71895",9998,"19,92864",365,"0,72754",6,0.01196,6426,2,2,7
16,2022,52,16542,"253,75058",96,"0,58034",13,"0,07859",0,0.00000,6519,2,3,9
17,2024,17,1931,"29,62111",30,"1,55360",2,"0,10357",0,0.00000,6519,2,5,11
18,2016,52,8789,"143,00358",124,"1,41085",206,"2,34384",1,0.01138,6146,2,6,8
19,2017,52,4297,"67,37222",232,"5,39912",7,"0,16290",0,0.00000,6378,2,6,1
20,2018,52,8448,"131,75296",789,"9,33949",158,"1,87027",8,0.09470,6412,2,6,2
21,2019,52,27470,"428,41547",768,"2,79578",106,"0,38588",14,0.05096,6412,2,6,3
22,2020,53,5450,"84,99688",39,"0,71560",9,"0,16514",0,0.00000,6412,2,6,4
23,2014,53,19797,"124,82346",1889,"9,54185",116,"0,58595",13,0.06567,15860,3,3,6
24,2015,52,18058,"111,09197",1228,"6,80031",50,"0,27689",9,0.04984,16255,3,3,7
25,2016,52,8844,"53,04384",330,"3,73134",47,"0,53143",1,0.01131,16673,3,3,8
