ID,Año,Semana_Epidemiologica,Total_Casos,Tasas_Incidencias,Confirmados_Laboratorio,%_Laboratorio_Confirmado,Dengue_Grave,%_Dengue_Grave,Muertes,Letalidad,Poblacion_x_1000,ID_Pais,ID_Serotipo,ID_Calendario
1,2017,52,5561,113.35,106,1.91,2,0.04,0,0.0,4906,1,1,1
2,2018,52,2735,55.22,265,9.69,0,0.0,0,0.0,4953,1,1,2
3,2019,52,9400,189.78,365,3.88,11,0.12,0,0.0,4953,1,1,3
4,2020,53,10056,203.03,426,4.24,21,0.21,0,0.0,4953,1,1,4
5,2021,52,5174,100.68,250,4.83,3,0.06,0,0.0,5139,1,1,5
6,2014,53,11140,225.6,,,4,0.04,0,0.0,4938,1,2,6
7,2015,52,17394,347.74,0,0.0,6,0.03,0,0.0,5002,1,2,7
8,2016,52,23319,480.11,0,0.0,21,0.09,0,0.0,4857,1,2,8
9,2022,52,7485,145.65,556,7.43,0,0.0,0,0.0,5139,1,3,9
10,2023,52,30649,582.46,2712,8.85,1,0.0,0,0.0,5262,1,3,10
11,2024,18,8051,153.0,448,5.56,0,0.0,0,0.0,5262,1,3,11
12,2021,52,5752,88.23,37,0.64,13,0.23,0,0.0,6519,2,4,5
13,2023,50,5788,88.79,50,0.86,3,0.05,0,0.0,6519,2,4,10
14,2014,53,53460,837.41,16146,30.2,184,0.34,6,0.01122,6384,2,2,6
15,2015,52,50169,780.72,9998,19.93,365,0.73,6,0.01196,6426,2,2,7
16,2022,52,16542,253.75,96,0.58,13,0.08,0,0.0,6519,2,3,9
17,2024,17,1931,29.62,30,1.55,2,0.1,0,0.0,6519,2,5,11
18,2016,52,8789,143.0,124,1.41,206,2.34,1,0.01138,6146,2,6,8
19,2017,52,4297,67.37,232,5.4,7,0.16,0,0.0,6378,2,6,1
20,2018,52,8448,131.75,789,9.34,158,1.87,8,0.0947,6412,2,6,2
21,2019,52,27470,428.42,768,2.8,106,0.39,14,0.05096,6412,2,6,3
22,2020,53,5450,85.0,39,0.72,9,0.17,0,0.0,6412,2,6,4
23,2014,53,19797,124.82,1889,9.54,116,0.59,13,0.06567,15860,3,3,6
24,2015,52,18058,111.09,1228,6.8,50,0.28,9,0.04984,16255,3,3,7
25,2016,52,8844,53.04,330,3.73,47,0.53,1,0.01131,16673,3,3,8
26,2017,52,4214,24.91,1438,34.12,64,1.52,24,0.56953,16914,3,3,1
27,2018,52,6830,39.61,2152,31.51,78,1.14,22,0.32211,17245,3,3,2
28,2019,52,50432,292.44,1429,2.83,113,0.22,66,0.13087,17245,3,3,3
29,2020,53,5983,34.69,868,14.51,18,0.3,10,0.16714,17245,3,3,4
30,2021,52,2861,15.68,905,31.63,16,0.56,6,0.20972,18250,3,3,5
31,2022,52,8407,46.07,2219,26.39,31,0.37,16,0.19032,18250,3,3,9
32,2023,52,72358,396.48,7282,10.06,157,0.22,119,0.16446,18250,3,3,10
33,2024,14,12570,68.88,1086,8.64,19,0.15,9,0.0716,18250,3,3,11
34,2015,52,44834,532.22,0,0.0,1062,2.37,5,0.01115,8424,4,4,7
35,2019,52,132143,1442.92,180,0.14,19447,14.72,180,0.13622,9158,4,1,3
36,2020,53,25180,274.95,75,0.3,1786,7.09,10,0.03971,9158,4,1,4
37,2018,52,7942,84.34,,,1172,14.76,3,0.03777,9417,4,2,2
38,2023,52,34050,338.37,2030,5.96,228,0.67,49,0.14391,10063,4,3,10
39,2024,16,14840,147.47,1248,8.41,172,1.16,10,0.06739,10063,4,3,11
40,2021,52,19753,196.29,,,1041,5.27,8,0.0405,10063,4,7,5
41,2022,52,25337,251.78,,,436,1.72,9,0.03552,10063,4,7,9
42,2016,52,22961,280.35,76,0.33,313,1.36,3,0.01307,8190,4,6,8
43,2017,52,5217,56.31,0,0.0,126,2.42,0,0.0,9265,4,6,1
44,2014,53,42753,517.53,,,2309,5.4,5,0.0117,8261,4,8,6
45,2017,52,89893,69.6,14138,15.73,375,0.42,34,0.03782,129163,5,2,1
46,2014,53,124943,100.92,32100,25.69,8668,6.94,39,0.03121,123799,5,3,6
47,2015,52,219593,175.34,26665,12.14,5464,2.49,42,0.01913,125236,5,3,7
48,2016,52,130069,101.12,17795,13.68,806,0.62,34,0.02614,128632,5,3,8
49,2018,52,78621,60.13,12706,16.16,858,1.09,45,0.05724,130759,5,3,2
50,2019,52,268458,205.31,43362,16.15,3560,1.33,421,0.15682,130759,5,3,3
51,2020,53,120639,92.26,24313,20.15,1058,0.88,79,0.06548,130759,5,3,4
52,2021,52,36742,28.21,6746,18.36,300,0.82,39,0.10615,130262,5,3,5
53,2022,52,59918,46.0,12671,21.15,410,0.68,53,0.08845,130262,5,3,9
54,2023,52,277963,211.81,54406,19.57,1653,0.59,203,0.07303,131230,5,3,10
55,2024,18,62640,47.34,12273,19.59,386,0.62,20,0.03193,132308,5,3,11
56,2024,5,17339,258.71,1078,6.22,1,0.01,0,0.0,6702,6,4,11
57,2014,53,35425,574.24,1930,5.45,0,0.0,0,0.0,6169,6,3,6
58,2022,52,97541,1455.4,4520,4.63,35,0.04,0,0.0,6702,6,3,9
59,2023,52,181096,2702.12,10136,5.6,18,0.01,4,0.00221,6702,6,3,10
60,2016,52,88463,1438.42,6616,7.48,,,16,0.01809,6150,6,6,8
61,2017,52,64712,1040.72,2511,3.88,,,2,0.00309,6218,6,6,1
62,2018,52,58746,934.7,2103,3.58,,,6,0.01021,6285,6,6,2
63,2019,52,186173,2962.18,10587,5.69,1210,0.65,30,0.01611,6285,6,6,3
64,2020,53,53953,858.44,1259,2.33,70,0.13,1,0.00185,6285,6,6,4
65,2021,52,36741,548.21,515,1.4,22,0.06,0,0.0,6702,6,6,5
66,2015,52,49326,788.33,4082,8.28,15,0.03,15,0.03041,6257,6,9,7
67,2020,53,3987,95.77,1828,45.85,11,0.28,6,0.15049,4163,7,10,4
68,2018,52,7944,190.82,4313,54.29,16,0.2,3,0.03776,4163,7,1,2
69,2021,52,3685,84.09,2155,58.48,6,0.16,2,0.05427,4382,7,1,5
70,2022,52,11924,271.12,8029,67.33,21,0.18,5,0.04193,4398,7,1,9
71,2014,53,5517,140.52,3145,57.01,20,0.36,9,0.16313,3926,7,2,6
72,2015,52,4815,120.74,2453,50.94,14,0.29,4,0.08307,3988,7,2,7
73,2016,52,9526,238.75,3286,34.5,29,0.3,9,0.09448,3990,7,2,8
74,2017,52,10702,261.09,4518,42.22,16,0.15,2,0.01869,4099,7,2,1
75,2023,52,20924,469.46,16577,79.22,49,0.23,18,0.08603,4457,7,3,10
76,2024,18,5882,131.97,4141,70.4,27,0.46,9,0.15301,4457,7,3,11
77,2019,52,9661,232.07,5055,52.32,19,0.2,6,0.06211,4163,7,11,3
78,2019,52,19987,178.2,7353,36.79,102,0.51,30,0.1501,11216,8,1,3
79,2020,53,111347,992.75,14678,13.18,696,0.63,41,0.03682,11216,8,1,4
80,2021,52,8947,75.61,2402,26.85,21,0.23,2,0.02235,11833,8,1,5
81,2022,52,16544,139.81,4362,26.37,63,0.38,10,0.06044,11833,8,1,9
82,2023,52,156774,1324.89,23922,15.26,733,0.47,88,0.05613,11833,8,1,10
83,2024,15,25364,214.35,5552,21.89,114,0.45,9,0.03548,11833,8,1,11
84,2018,52,7597,67.73,1348,17.74,60,0.79,6,0.07898,11216,8,2,2
85,2016,52,32386,297.45,4413,13.63,61,0.19,2,0.00618,10888,8,7,8
86,2017,52,9923,89.78,917,9.24,66,0.67,2,0.02016,11052,8,11,1
87,2015,52,27099,245.8,2432,8.97,86,0.32,1,0.00369,11025,8,12,7
88,2014,53,23471,216.36,3469,14.78,380,1.62,0,0.0,10848,8,13,6
89,2024,18,128881,251.4,83492,64.78,1182,0.92,48,0.03724,51266,9,4,11
90,2017,52,25284,51.53,6784,26.83,236,0.93,15,0.05933,49066,9,2,1
91,2018,52,44825,90.62,4063,9.06,526,1.17,23,0.05131,49465,9,2,2
92,2019,52,127553,257.87,38016,29.8,1406,1.1,87,0.06821,49465,9,2,3
93,2014,53,107975,220.67,47946,44.4,2619,2.43,88,0.0815,48930,9,3,6
94,2015,52,96444,194.72,39475,40.93,1421,1.47,155,0.16072,49529,9,3,7
95,2016,52,101016,207.62,45809,45.35,899,0.89,60,0.0594,48654,9,3,8
96,2020,53,78979,159.67,17401,22.03,897,1.14,55,0.06964,49465,9,3,4
97,2021,52,53334,104.03,29334,55.0,958,1.8,43,0.08062,51266,9,3,5
98,2022,52,69497,135.56,47366,68.16,1371,1.97,48,0.06907,51266,9,3,9
99,2023,52,131784,257.06,95575,72.52,1714,1.3,90,0.06829,51266,9,3,10
100,2024,18,27063,151.29,27063,100.0,120,0.44,31,0.11455,17888,10,4,11
101,2018,52,3099,18.38,131,4.23,6,0.19,1,0.03227,16863,10,10,2
102,2019,52,8416,49.91,821,9.76,38,0.45,2,0.02376,16863,10,1,3
103,2020,53,19950,118.31,,,51,0.26,6,0.03008,16863,10,1,4
104,2021,52,20592,115.12,20592,100.0,79,0.38,19,0.09227,17888,10,1,5
105,2022,52,16017,89.54,16017,100.0,109,0.68,13,0.08116,17888,10,1,9
106,2023,52,27838,155.62,27838,100.0,112,0.4,33,0.11854,17888,10,1,10
107,2014,53,15531,97.17,15531,100.0,67,0.43,12,0.07726,15983,10,3,6
108,2015,52,42473,261.76,1437,3.38,56,0.13,8,0.01884,16226,10,3,7
109,2016,52,14159,86.41,14159,100.0,39,0.28,4,0.02825,16385,10,7,8
110,2017,52,11387,68.49,11387,100.0,18,0.16,4,0.03513,16625,10,12,1
111,2020,53,56394,173.24,35641,63.2,122,0.22,88,0.15604,32552,11,1,4
112,2021,52,49274,147.71,38258,77.64,143,0.29,39,0.07915,33359,11,1,5
113,2022,52,72851,218.38,53736,73.76,229,0.31,84,0.1153,33359,11,1,9
114,2023,52,274227,822.05,230872,84.19,1055,0.38,441,0.16082,33359,11,2,10
115,2024,18,209198,627.11,153187,73.23,610,0.29,165,0.07887,33359,11,2,11
116,2014,53,19043,61.89,11623,61.04,95,0.5,31,0.16279,30769,11,3,6
117,2015,52,35837,115.01,32511,90.72,123,0.34,41,0.11441,31161,11,3,7
118,2016,52,31868,100.3,17055,53.52,124,0.39,37,0.1161,31774,11,3,8
119,2017,52,76093,236.57,27241,35.8,251,0.33,76,0.09988,32165,11,3,1
120,2019,52,17143,52.66,,,163,0.95,37,0.21583,32552,11,3,3
121,2018,52,6930,21.29,,,65,0.94,15,0.21645,32552,11,14,2
122,2017,52,8615,26.94,1588,18.43,359,4.17,16,0.18572,31977,12,10,1
123,2018,52,19118,59.04,2440,12.76,101,0.53,24,0.12554,32381,12,2,2
124,2019,52,16015,49.46,880,5.49,70,0.44,23,0.14362,32381,12,2,3
125,2020,53,6721,20.76,304,4.52,31,0.46,14,0.2083,32381,12,2,4
126,2021,52,5926,20.64,263,4.44,29,0.49,8,0.135,28705,12,2,5
127,2014,53,87529,283.72,70,0.08,221,0.25,0,0.0,30851,12,3,6
128,2015,52,54152,173.05,13837,25.55,282,0.52,90,0.1662,31293,12,3,7
129,2016,52,29268,92.86,5833,19.93,115,0.39,39,0.13325,31519,12,3,8
130,2022,52,11409,39.75,2592,22.72,43,0.38,18,0.15777,28705,12,3,9
131,2023,21,4809,16.75,1445,30.05,17,0.35,8,0.16635,28705,12,3,10
